Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Media
567675312,"May 6, 2016, 6:17:06 PM",Afternoon Ride,Ride,,11576,21.79,,,false,,,activities/567675312.gpx,97.06880187988281,,11576.0,4422.0,21798.19921875,13.399999618530273,,127.16100311279297,,308.6000061035156,367.20001220703125,36.599998474121094,0.000917506986297667,,,,,,,,133.8350067138672,659.8775024414062,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
572250377,"May 10, 2016, 11:23:07 PM",Evening Ride,Ride,,4500,1.92,,,false,,,activities/572250377.gpx,97.06880187988281,,4500.0,4470.0,1925.0999755859375,7.699999809265137,,0.0,,312.20001220703125,322.1000061035156,31.0,-0.21297599375247955,,,,,,,,118.20099639892578,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
580604576,"May 18, 2016, 10:02:12 PM",Afternoon Ride,Ride,,4754,25.94,,,false,,,activities/580604576.gpx,97.06880187988281,,4754.0,4285.0,25942.30078125,16.0,,142.39599609375,,323.0,361.0,20.799999237060547,-0.003083769930526614,,,,,,,,154.12399291992188,736.3698120117188,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
587122619,"May 24, 2016, 10:49:23 PM",Afternoon Ride,Ride,,10616,29.23,,,false,,,activities/587122619.gpx,97.06880187988281,,10616.0,8626.0,29235.599609375,15.0,,40.442298889160156,,291.5,322.29998779296875,30.799999237060547,0.04344020038843155,,,,,,,,138.5540008544922,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
593310503,"May 30, 2016, 5:54:52 PM",Lunch Ride,Ride,,5956,29.27,,,false,,,activities/593310503.gpx,97.06880187988281,,5956.0,5491.0,29276.69921875,13.5,,101.83899688720703,,299.5,366.5,36.400001525878906,0.0,,,,,,,,118.13999938964844,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
596635565,"Jun 2, 2016, 10:01:34 PM",Afternoon Ride,Ride,,5177,22.05,,,false,,,activities/596635565.gpx,97.06880187988281,,5177.0,4666.0,22055.69921875,20.100000381469727,,150.55099487304688,,307.0,369.3999938964844,35.599998474121094,0.0,,,,,,,,119.24600219726562,620.3880615234375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
602240679,"Jun 7, 2016, 11:36:04 PM",Evening Ride,Ride,,7537,1.11,,,false,,,activities/602240679.gpx,97.06880187988281,,7537.0,255.0,1112.699951171875,7.800000190734863,,0.0,,312.20001220703125,322.0,35.400001525878906,0.7099850177764893,,,,,,,,101.54900360107422,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
603308610,"Jun 8, 2016, 11:24:07 PM",Evening Ride,Ride,,3598,8.38,,,false,,,activities/603308610.gpx,97.06880187988281,,3598.0,1841.0,8381.2001953125,13.100000381469727,,21.64189910888672,,310.0,333.29998779296875,29.899999618530273,-0.05249840021133423,,,,,,,,114.76100158691406,235.57162475585938,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
634651642,"Jul 8, 2016, 11:51:47 PM",Evening Ride,Ride,,8138,19.81,,,false,,,activities/634651642.gpx,97.06880187988281,,8138.0,7959.0,19816.900390625,14.399999618530273,,18.104999542236328,,300.70001220703125,322.20001220703125,33.29999923706055,-0.001009240048006177,,,,,,,,120.39099884033203,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
637016517,"Jul 11, 2016, 12:02:04 AM",Evening Ride,Ride,,1759,7.11,,,false,,,activities/637016517.gpx,97.06880187988281,,1759.0,1395.0,7118.5,14.199999809265137,,0.0,,312.20001220703125,328.8999938964844,18.299999237060547,-0.05338200181722641,,,,,,,,125.00900268554688,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
