Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Media
1621810598,"Jun 6, 2018, 7:42:43 PM",Jon's Mix,Virtual Ride,,3271,24.84,,,FALSE,,,activities/1742983417.gpx.gz,59.42060089,,3271,3271,24841.30078,13,,119,,-6.199999809,23,7.300000191,-0.024153326,,,127,75.16651154,,,,96.61750031,352.3799744,,,,,,,,,,,,108,3272,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/b25a8b80-9f3b-44f8-8130-165fe510ca75.jpg
1630798154,"Jun 10, 2018, 3:14:21 PM",Morning Ride,Ride,,11815,71.06,,,FALSE,,,activities/1752534129.gpx.gz,59.42060089,,11815,10767,71062.29688,13.60000038,,360.3999939,,292.3999939,407.2000122,7.300000191,0.042216476,,,,,,,,86.77521515,1041.754028,,25,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649472329,"Jun 19, 2018, 9:36:39 PM",The Wringer,Virtual Ride,,2652,20.09,,,FALSE,,,activities/1772096990.gpx.gz,59.42060089,,2652,2652,20095.90039,13,,76,,11.60000038,26.20000076,7.5,0.010947507,,,120,72.36212921,,,,102.8921585,304.2495728,,,,,,,,,,,,125,2653,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/76b0ae5d-a64c-48ff-b3a0-ac7ae65ac866.jpg
1668864606,"Jun 29, 2018, 1:30:06 AM",SST (Short),Virtual Ride,,3032,24.12,,,FALSE,,,activities/1792322720.gpx.gz,59.42060089,,3032,3007,24125.80078,13.30000019,,111.4000015,,-6.199999809,23,6.800000191,-0.035646487,,,124,78.80717468,,,,109.6879807,367.7624817,,,,,,,,,,,,112,3033,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/0b4929f1-9ef8-4e96-997c-b09d23cf0d48.jpg
1683371355,"Jul 5, 2018, 6:29:37 PM",Afternoon Ride,Ride,,6976,43.97,,,FALSE,,,activities/1807345121.gpx.gz,59.42060089,,6976,6859,43969.69922,10.60000038,,155.3999939,,331.2000122,402.2000122,8.199999809,0.083239138,,,,,,,,81.20980072,621.0750732,,29,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696722812,"Jul 12, 2018, 1:15:50 AM",Emily's Short Mix,Virtual Ride,,1801,14.09,,,FALSE,,,activities/1821243190.gpx.gz,59.42060089,,1801,1801,14089.90039,13,,64.40000153,,-6.199999809,23,7.099999905,-0.007097282,,,115,83.97042084,,,,109.3099976,219.5070496,,,,,,,,,,,,116,1802,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/b5a6d6f3-84a0-4e08-82a7-dafcc0516387.jpg
1732084013,"Jul 27, 2018, 10:45:06 PM",Watopia,Virtual Ride,,2714,20.76,,,FALSE,,,activities/1858655768.gpx.gz,59.42060089,,2714,2714,20764.19922,14.69999981,,187.3999939,,-6.199999809,131.8000031,11.60000038,0.039491046,,,118,84.18065643,,,,124.9808197,378.2062683,,,,,,,,,,,,129,2715,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/b0be41bc-0d0d-4501-87c0-b2f392b430b5.jpg
1777418872,"Aug 17, 2018, 12:32:22 AM",Watopia,Virtual Ride,,2711,22.7,,,FALSE,,,activities/1907839995.fit.gz,59.42060089,,2711,2711,22699.30078,13.69999981,,126,0,-6.199999809,23,7,-0.053746149,,,116,80.40570831,,0,,114.2087784,296,,,,,,,,,,,,122,2712,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/58e666e0-eefa-495f-9554-935de41370ef.jpg
1806412183,"Aug 29, 2018, 9:04:45 PM",Afternoon Ride,Ride,,6821,49,,,FALSE,,,activities/1937666067.fit.gz,59.42060089,,6821,6595,49005,13.39999962,,211,200,295.6000061,350,12.60000038,0.034690339,,,,68,,,,110.5190506,812.6935425,,24,,989460,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808562301,"Aug 30, 2018, 9:45:26 PM",London,Virtual Ride,,1814,17.05,,,FALSE,,,activities/1939871980.fit.gz,59.42060089,,1814,1814,17058.59961,15,,42,0,11.60000038,26.20000076,6.800000191,-0.008207005,,,117,95.62638855,,0,,150.1446686,260,,,,,,,,,,,,159,1815,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/c00950e8-ed2a-4ed9-8b66-8a6013d62062.jpg
